topics,subject,object,label
management science; e-commerce systems,management science,e-commerce systems,1
k-means algorithm; k-means algorithms,k-means algorithm,k-means algorithms,2
3rd generation partnership project (3gpp); word embeddings,3rd generation partnership project (3gpp),word embeddings,3
subbands; filter banks,subbands,filter banks,0
computer systems; information system,computer systems,information system,0
wireless sensor network (wsn); localization method,wireless sensor network (wsn),localization method,0
haptic systems; query languages,haptic systems,query languages,3
bayesian networks; bayesian framework,bayesian networks,bayesian framework,2
multiple classifiers; multiple classifier systems,multiple classifiers,multiple classifier systems,2
peer to peer networks; peer-to-peer system,peer to peer networks,peer-to-peer system,2
graphical models; bayesian framework,graphical models,bayesian framework,1
quality of experience (qoe); wave-front sensing,quality of experience (qoe),wave-front sensing,3
speed control; control system,speed control,control system,1
kernel functions; support vector machines (svms),kernel functions,support vector machines (svms),1
computer communication networks; computer networks,computer communication networks,computer networks,2
precoding scheme; human system interface,precoding scheme,human system interface,3
scale invariant feature transform (sift); low power consumption,scale invariant feature transform (sift),low power consumption,3
firewalls; ocl,firewalls,ocl,3
semantic web applications; ontology creation,semantic web applications,ontology creation,0
knn; congenial access control,knn,congenial access control,3
cache; operating systems,cache,operating systems,1
teleoperation; tele-operations,teleoperation,tele-operations,2
malwares; ltl,malwares,ltl,3
key management; formal verifications,key management,formal verifications,3
bayesian classifiers; bayesian method,bayesian classifiers,bayesian method,1
agile; software development life cycle,agile,software development life cycle,1
reversible logic; haptic systems,reversible logic,haptic systems,3
software components; component-based software engineering,software components,component-based software engineering,2
classification approach; classification technique,classification approach,classification technique,2
p2p networks; replication strategies,p2p networks,replication strategies,0
design rationale; backstepping control,design rationale,backstepping control,3
video processing; computer imaging and vision,video processing,computer imaging and vision,1
bayesian approach; mcmc method,bayesian approach,mcmc method,0
answering queries; query processing,answering queries,query processing,1
knn; k-nearest neighbor,knn,k-nearest neighbor,2
mobile ad hoc networks (manets); super resolution imaging,mobile ad hoc networks (manets),super resolution imaging,3
architectural strategies; random forests,architectural strategies,random forests,3
public-key cryptosystems; public key cryptosystems,public-key cryptosystems,public key cryptosystems,2
game theory; stereo pair,game theory,stereo pair,3
haptics; haptic guidance,haptics,haptic guidance,0
software architecture; architecture viewpoints,software architecture,architecture viewpoints,0
cad system; cellular telephone systems,cad system,cellular telephone systems,3
design rationales; control channel,design rationales,control channel,3
machine-learning; delay-tolerant network,machine-learning,delay-tolerant network,3
collaborative filtering; recommender systems,collaborative filtering,recommender systems,1
unequal error protection (uep); uep,unequal error protection (uep),uep,2
geoprocessing; geographical information system (gis),geoprocessing,geographical information system (gis),1
communicating sequential processes; formal methods,communicating sequential processes,formal methods,1
radial basis; rbf network,radial basis,rbf network,0
p2p system; super-peer,p2p system,super-peer,0
communicating sequential processes; sensor,communicating sequential processes,sensor,3
adaptive pid; ultrasonic sensor,adaptive pid,ultrasonic sensor,3
inertial navigation; sensor,inertial navigation,sensor,1
adder; computer arithmetic,adder,computer arithmetic,0
semantic search engine; search engines,semantic search engine,search engines,1
dempster-shafer; software radio,dempster-shafer,software radio,3
feature model; feature models,feature model,feature models,2
bayesian method; bayesian filtering,bayesian method,bayesian filtering,0
unified medical language system; computational biology,unified medical language system,computational biology,1
access network; access networks,access network,access networks,2
architectural knowledge modeling; collaborative filtering systems,architectural knowledge modeling,collaborative filtering systems,3
3d modelling; mergers and acquisitions,3d modelling,mergers and acquisitions,3
intelligent network; bayesian network structure,intelligent network,bayesian network structure,0
e commerces; online auction,e commerces,online auction,0
autonomous robots; transform coding,autonomous robots,transform coding,3
competitive ratio; social networks,competitive ratio,social networks,3
back-propagation neural network; traffic matrices,back-propagation neural network,traffic matrices,3
high definition television; video processing,high definition television,video processing,1
ebooks; meteorological radar,ebooks,meteorological radar,3
cooperative communications; cooperative communication,cooperative communications,cooperative communication,2
ieee 802.11e; ieee802.11e,ieee 802.11e,ieee802.11e,2
peer-to-peer network; free riding,peer-to-peer network,free riding,0
adaptive filter; machine learning,adaptive filter,machine learning,3
frequent itemset mining; frequent itemsets,frequent itemset mining,frequent itemsets,2
architectural styles; software architectures,architectural styles,software architectures,1
de-nosing; wavelet transform,de-nosing,wavelet transform,1
multi-objective optimizations; 0/1 knapsack problems,multi-objective optimizations,0/1 knapsack problems,0
architectural tactic; integrated circuits,architectural tactic,integrated circuits,3
content based image retrieval; cbir,content based image retrieval,cbir,2
ad-hoc networks; vehicular ad hoc network,ad-hoc networks,vehicular ad hoc network,0
ensemble classifiers; srtm,ensemble classifiers,srtm,3
cognitive disability; mobile environment,cognitive disability,mobile environment,3
software development process; extreme programming,software development process,extreme programming,0
quality of service; synthetic aperture radar (sar),quality of service,synthetic aperture radar (sar),3
autonomous robot; mobile robotics,autonomous robot,mobile robotics,1
extensible markup language; xml technology,extensible markup language,xml technology,0
haptic device; haptic sensation,haptic device,haptic sensation,0
peak signal to noise ratio (psnr); supervised machine learning,peak signal to noise ratio (psnr),supervised machine learning,3
mutation operators; pso algorithm,mutation operators,pso algorithm,1
closed-loop control; robotics,closed-loop control,robotics,1
kernel parameter; support vector machine,kernel parameter,support vector machine,1
deep belief networks; bayesian methods,deep belief networks,bayesian methods,1
sensor; optical fiber,sensor,optical fiber,0
social network analysis; centrality measure,social network analysis,centrality measure,0
homomorphic-encryptions; media independent handover,homomorphic-encryptions,media independent handover,3
haptic interfaces; hybrid algorithm,haptic interfaces,hybrid algorithm,3
continuous queries; continuous query,continuous queries,continuous query,2
polarimeter; ellipsometry,polarimeter,ellipsometry,0
computer systems; feedback systems,computer systems,feedback systems,0
architectural pattern; model view controller,architectural pattern,model view controller,0
association rule; mining frequent itemsets,association rule,mining frequent itemsets,0
avatars; soft errors,avatars,soft errors,3
tele-operation; robotic manipulator,tele-operation,robotic manipulator,1
peer to peer (p2p) network; unstructured p2p network,peer to peer (p2p) network,unstructured p2p network,0
representational state transfer; architectural patterns,representational state transfer,architectural patterns,1
faam; software architecture assessment,faam,software architecture assessment,1
frequent items; underactuated systems,frequent items,underactuated systems,3
radial basis functions; radial basis function,radial basis functions,radial basis function,2
computerized tomography; aggregation schemes,computerized tomography,aggregation schemes,3
wsn; fusion center,wsn,fusion center,0
b2c e-commerce; bayesian,b2c e-commerce,bayesian,3
tactile sensing; sensor,tactile sensing,sensor,1
equivalence class; requirements elicitation,equivalence class,requirements elicitation,3
kernel parameter; sensor networks,kernel parameter,sensor networks,3
biological networks; component models,biological networks,component models,3
rbf network; radial basis functions,rbf network,radial basis functions,1
natural language processing systems; moment method,natural language processing systems,moment method,3
quality of service; ocl,quality of service,ocl,3
requirement engineering; requirements management,requirement engineering,requirements management,0
scripting languages; case retrieval,scripting languages,case retrieval,3
software development; global software development,software development,global software development,0
multiobjective optimisation; multiobjective optimization,multiobjective optimisation,multiobjective optimization,2
pseudo relevance feedback; natural language processing,pseudo relevance feedback,natural language processing,1
context-awareness; mobile device,context-awareness,mobile device,1
structured query language (sql); relational database systems,structured query language (sql),relational database systems,1
concurrent software; force feedback devices,concurrent software,force feedback devices,3
abstract interpretations; soldered joints,abstract interpretations,soldered joints,3
communication systems; computer systems,communication systems,computer systems,1
congestion control; equivalence relations,congestion control,equivalence relations,3
multicast groups; ip multicast,multicast groups,ip multicast,1
evolutionary computation techniques; pso algorithms,evolutionary computation techniques,pso algorithms,1
adder; lsi circuits,adder,lsi circuits,1
peer-to-peer network; traffic identification,peer-to-peer network,traffic identification,0
cad; design automation,cad,design automation,0
neural network; feedforward neural network,neural network,feedforward neural network,0
language modeling; network protocols,language modeling,network protocols,3
disk arrays; storage system,disk arrays,storage system,1
model driven architecture; platform specific models,model driven architecture,platform specific models,0
field programmable gate array (fpga); logic gate,field programmable gate array (fpga),logic gate,0
semantic similarity measures; nlp,semantic similarity measures,nlp,1
neural network; back-propagation neural networks,neural network,back-propagation neural networks,2
optical tomography; online algorithms,optical tomography,online algorithms,3
particle swarm algorithm; improved particle swarm optimization,particle swarm algorithm,improved particle swarm optimization,0
microelectromechanical systems; micro-electrical-mechanical systems,microelectromechanical systems,micro-electrical-mechanical systems,2
bayesian method; variational approximation,bayesian method,variational approximation,0
humanoid robotics; humanoid robots,humanoid robotics,humanoid robots,2
space time block codes; space-time block coding (stbc),space time block codes,space-time block coding (stbc),2
ensemble classifiers; sequential machines,ensemble classifiers,sequential machines,3
infrared detector; sensor,infrared detector,sensor,1
tactics for performance; architecture tactics,tactics for performance,architecture tactics,1
logic gates; logic gate,logic gates,logic gate,2
fsm; distributed systems,fsm,distributed systems,3
information systems; computer systems,information systems,computer systems,1
domain specific modeling; mde,domain specific modeling,mde,1
lyapunov stability theorem; relational learning,lyapunov stability theorem,relational learning,3
classification performances; supervised classification,classification performances,supervised classification,0
question answering systems; optical fiber communication,question answering systems,optical fiber communication,3
semantic web applications; semantic web service,semantic web applications,semantic web service,0
smart contracts; distributed ledgers,smart contracts,distributed ledgers,1
cell loss probability; architecturally significant requirements,cell loss probability,architecturally significant requirements,3
computer systems; communication systems,computer systems,communication systems,0
particle swarm algorithm; mutation operations,particle swarm algorithm,mutation operations,0
cognitive radios; dynamic spectrum access,cognitive radios,dynamic spectrum access,0
wormhole attack; wsn,wormhole attack,wsn,1
cognitive models; cognitive modeling,cognitive models,cognitive modeling,2
inter-domain routing; interdomain routing,inter-domain routing,interdomain routing,2
design concerns; implementation concerns,design concerns,implementation concerns,0
wearable computer; wearable,wearable computer,wearable,2
parallel mechanisms; information technology,parallel mechanisms,information technology,3
dynamic spectrum access; timing circuits,dynamic spectrum access,timing circuits,3
inference algorithm; bayesian models,inference algorithm,bayesian models,1
back-propagation neural network; artificial neural network models,back-propagation neural network,artificial neural network models,0
fuzzy neural network (fnn); back-propagation neural network,fuzzy neural network (fnn),back-propagation neural network,1
language modeling; language modelling,language modeling,language modelling,2
network-on-chips; bus-based,network-on-chips,bus-based,0
aspect-oriented programming (aop); aspect oriented programming,aspect-oriented programming (aop),aspect oriented programming,2
diversity-multiplexing tradeoff; diversity-multiplexing trade-off,diversity-multiplexing tradeoff,diversity-multiplexing trade-off,2
iar; software architecture evaluation,iar,software architecture evaluation,1
business process; gender classification,business process,gender classification,3
cooperative communication; cooperative communications,cooperative communication,cooperative communications,2
biped robot; biped robots,biped robot,biped robots,2
back-propagation neural network; radial basis,back-propagation neural network,radial basis,0
information system; network architecture,information system,network architecture,3
extensible markup language (xml); extensible stylesheet language,extensible markup language (xml),extensible stylesheet language,0
microelectromechanical systems (mems); mems,microelectromechanical systems (mems),mems,1
part of speech tagging; part-of-speech tagging,part of speech tagging,part-of-speech tagging,2
multiprocessor systems on chips; network-on-chip (noc),multiprocessor systems on chips,network-on-chip (noc),1
peer to peer networks; p2p networks,peer to peer networks,p2p networks,2
graphic processing units; gpu,graphic processing units,gpu,1
model view controller; maximum entropy models,model view controller,maximum entropy models,3
relational database systems; sql query,relational database systems,sql query,0
signal encoding; symbol error rate,signal encoding,symbol error rate,0
computer network; wireless telecommunication systems,computer network,wireless telecommunication systems,0
peer-to-peer technologies; gnutella,peer-to-peer technologies,gnutella,0
semantic search engine; semantic search,semantic search engine,semantic search,2
video communication; video processing,video communication,video processing,1
bayesian approaches; inference algorithm,bayesian approaches,inference algorithm,0
network lifetime; bayesian classifier,network lifetime,bayesian classifier,3
bayesian methods; markov chain monte carlo algorithms,bayesian methods,markov chain monte carlo algorithms,0
short message service (sms); short message service,short message service (sms),short message service,2
least mean square; biomedical imaging,least mean square,biomedical imaging,3
owl; owl-s,owl,owl-s,0
applied (co); arrival process,applied (co),arrival process,3
autosar; architectural language,autosar,architectural language,1
mesh networks; boolean networks,mesh networks,boolean networks,3
cellular neural networks; back-propagation neural networks,cellular neural networks,back-propagation neural networks,1
bayesian framework; probabilistic model,bayesian framework,probabilistic model,0
control system analysis; control system,control system analysis,control system,1
on-line algorithm; competitive analysis,on-line algorithm,competitive analysis,0
computer operating systems; traffic matrices,computer operating systems,traffic matrices,3
software development projects; open source software development,software development projects,open source software development,0
cognitive radios; cognitive radio,cognitive radios,cognitive radio,2
tactics for performance; architectural tactics,tactics for performance,architectural tactics,1
east-adl; query execution,east-adl,query execution,3
cbam; software architecture evaluation,cbam,software architecture evaluation,1
cognitive radios; spectrum efficiency,cognitive radios,spectrum efficiency,0
customer behavior; e-commerce systems,customer behavior,e-commerce systems,1
component-based framework; component based software engineering,component-based framework,component based software engineering,1
evaluation index; microelectromechanical system,evaluation index,microelectromechanical system,3
communication channels; multiple-input-multiple-output systems,communication channels,multiple-input-multiple-output systems,0
shared memory multiprocessors; shared memory multiprocessor,shared memory multiprocessors,shared memory multiprocessor,2
particle swarm optimization; object-oriented programming,particle swarm optimization,object-oriented programming,3
intelligent environments; smart city,intelligent environments,smart city,0
electric fault location; dynamic spectrum allocation,electric fault location,dynamic spectrum allocation,3
reversible logic; algebraic attacks,reversible logic,algebraic attacks,3
multicasts; wireless telecommunication systems,multicasts,wireless telecommunication systems,1
concept similarity; formal concept analysis (fca),concept similarity,formal concept analysis (fca),1
consistency-checking; consistency checking,consistency-checking,consistency checking,2
differential phase shift keying; differential phase-shift keying,differential phase shift keying,differential phase-shift keying,2
back-propagation; backpropagation algorithms,back-propagation,backpropagation algorithms,2
dsdm; software development projects,dsdm,software development projects,1
mass functions; dempster-shafer,mass functions,dempster-shafer,1
moving object; higher-order logic,moving object,higher-order logic,3
design concerns; software architectures,design concerns,software architectures,1
statistical relational learning; ilp,statistical relational learning,ilp,1
natural language processing; semantic relatedness,natural language processing,semantic relatedness,0
ontology alignment; ontology merging,ontology alignment,ontology merging,0
semantic web service; semantic web technologies,semantic web service,semantic web technologies,1
heterogeneous wireless networks; ontology matching,heterogeneous wireless networks,ontology matching,3
control channel; control channels,control channel,control channels,2
gnu radio; software defined radio (sdr),gnu radio,software defined radio (sdr),1
software design patterns; object-oriented programming,software design patterns,object-oriented programming,1
back propagation algorithm; bp algorithm,back propagation algorithm,bp algorithm,0
trust modeling; e-commerce,trust modeling,e-commerce,1
smart cities; connected healthcare,smart cities,connected healthcare,0
back propagation algorithm; training algorithms,back propagation algorithm,training algorithms,0
haptic device; haptic interfaces,haptic device,haptic interfaces,2
online scheduling; on-line algorithm,online scheduling,on-line algorithm,1
pareto fronts; multi objective algorithm,pareto fronts,multi objective algorithm,0
systems-on-chip; systems on chips,systems-on-chip,systems on chips,2
brain-computer interfaces (bci); component based software development,brain-computer interfaces (bci),component based software development,3
xadl; architectural language,xadl,architectural language,1
artificial neural network; feedforward neural network,artificial neural network,feedforward neural network,0
stereoscopic display; stereoscopic displays,stereoscopic display,stereoscopic displays,2
unstructured peer-to-peer network; peer to peer networks,unstructured peer-to-peer network,peer to peer networks,1
multiobjective optimization; multiobjective optimisation,multiobjective optimization,multiobjective optimisation,2
dynamic spectrum management; point-spread functions,dynamic spectrum management,point-spread functions,3
component models; software components,component models,software components,1
directions of arrival; esprit algorithm,directions of arrival,esprit algorithm,0
structured p2p networks; peer-to-peer technologies,structured p2p networks,peer-to-peer technologies,1
wavelength division multiplexing (wdm); optical filter,wavelength division multiplexing (wdm),optical filter,0
bayesian framework; markov chain monte carlo algorithms,bayesian framework,markov chain monte carlo algorithms,0
voip; voice over internet protocol,voip,voice over internet protocol,2
architectural pattern; microservices architecture,architectural pattern,microservices architecture,0
gate stacks; automatic classification,gate stacks,automatic classification,3
semantic web technologies; semantic search engines,semantic web technologies,semantic search engines,0
warehouse; data warehouse,warehouse,data warehouse,1
geographical information system; geographical information system (gis),geographical information system,geographical information system (gis),1
control system; speed control,control system,speed control,0
retrieval (mir); computer network,retrieval (mir),computer network,1
publish/subscribe; publish-subscribe systems,publish/subscribe,publish-subscribe systems,0
olsr; neural networks,olsr,neural networks,3
web crawler; web contents,web crawler,web contents,1
kernel methods; faam,kernel methods,faam,3
space time block coding; space time block code,space time block coding,space time block code,2
architecture knowledge; architectural knowledge,architecture knowledge,architectural knowledge,2
computer systems programming; electronic product codes,computer systems programming,electronic product codes,3
reconfigurable hardware; temporal properties,reconfigurable hardware,temporal properties,3
peer-to-peer systems; peer to peer,peer-to-peer systems,peer to peer,2
http protocols; hypertext transfer protocol,http protocols,hypertext transfer protocol,1
wsn; routing,wsn,routing,1
least squares support vector machine; support vector machine,least squares support vector machine,support vector machine,1
histogram of oriented gradients; computer-aided diagnosis (cad),histogram of oriented gradients,computer-aided diagnosis (cad),3
natural language processing systems; fluid model,natural language processing systems,fluid model,3
flight control system; control system,flight control system,control system,1
semantic web service; semantic web,semantic web service,semantic web,1
micro-electrical-mechanical systems; micro electro mechanical system,micro-electrical-mechanical systems,micro electro mechanical system,2
peer to peer; peer-to-peer application,peer to peer,peer-to-peer application,0
wavelet de-noising; de-nosing,wavelet de-noising,de-nosing,1
linear feedback shift registers; lfsr,linear feedback shift registers,lfsr,2
local optimal solution; pso algorithm,local optimal solution,pso algorithm,1
disk array; sub-apertures,disk array,sub-apertures,3
multi-view consistency; multi-views,multi-view consistency,multi-views,1
particle swarm optimization technique; pso algorithm,particle swarm optimization technique,pso algorithm,1
robot behavior; man-machine systems,robot behavior,man-machine systems,1
component-based software development; human engineering,component-based software development,human engineering,3
vehicular ad hoc network; vehicle-to-vehicle communication,vehicular ad hoc network,vehicle-to-vehicle communication,0
multicast services; multicasts,multicast services,multicasts,1
cluster centers; parallel robot,cluster centers,parallel robot,3
software architecture analysis; performance analysis,software architecture analysis,performance analysis,0
crm; metal detectors,crm,metal detectors,3
peer-to-peer network; peer to peer,peer-to-peer network,peer to peer,2
geographic information system; hypervolume,geographic information system,hypervolume,3
haptics; needle insertion,haptics,needle insertion,0
incremental development; robot path planning,incremental development,robot path planning,3
belief propagation; refractive index measurement,belief propagation,refractive index measurement,3
pulse coupled neural network; pcnn,pulse coupled neural network,pcnn,2
semantic web; semantic description,semantic web,semantic description,0
high-dimensional data; high dimensional data,high-dimensional data,high dimensional data,2
p2p networks; super-peer,p2p networks,super-peer,0
dynamic spectrum allocations; dynamic spectrum allocation,dynamic spectrum allocations,dynamic spectrum allocation,2
feedback systems; feedback control,feedback systems,feedback control,0
force-feedback; haptic interface,force-feedback,haptic interface,1
electronic packaging; through silicon vias,electronic packaging,through silicon vias,0
particle swarm optimisation; local optimal solution,particle swarm optimisation,local optimal solution,0
robotic manipulator; analytic hierarchy process,robotic manipulator,analytic hierarchy process,3
machine learning algorithms; machine-learning,machine learning algorithms,machine-learning,2
graph transformation; graph transformations,graph transformation,graph transformations,2
software architecture; design patterns,software architecture,design patterns,0
semantic web rule languages; owl,semantic web rule languages,owl,1
gibbs sampling; bayesian model,gibbs sampling,bayesian model,1
dwt; component selection,dwt,component selection,3
wsn; wireless sensor network,wsn,wireless sensor network,2
low-power consumption; low power consumption,low-power consumption,low power consumption,2
quality of experience; qoe,quality of experience,qoe,2
radio frequency identification (rfid); transponder,radio frequency identification (rfid),transponder,0
radial basis function(rbf); rbf,radial basis function(rbf),rbf,2
personal digital assistant; mobile device,personal digital assistant,mobile device,1
energy detection; energy detectors,energy detection,energy detectors,2
orthogonal frequency division multiplexing (ofdm); multiple input multiple outputs,orthogonal frequency division multiplexing (ofdm),multiple input multiple outputs,0
database; concurrency control,database,concurrency control,0
neurofuzzy system; walking robots,neurofuzzy system,walking robots,3
mining software repositories; nsga-ii,mining software repositories,nsga-ii,3
service oriented computing; service-oriented computing (soc),service oriented computing,service-oriented computing (soc),2
alamouti codes; space time block codes,alamouti codes,space time block codes,1
business process management; particle swarm optimizers,business process management,particle swarm optimizers,3
model view controller; downlink systems,model view controller,downlink systems,3
internet protocol; hypertext transfer protocol,internet protocol,hypertext transfer protocol,0
polarimeter; linear polarization,polarimeter,linear polarization,0
robotic manipulators; iterated local search,robotic manipulators,iterated local search,3
semantic search engines; semantic search,semantic search engines,semantic search,2
mobile robotics; mobile robots,mobile robotics,mobile robots,2
particle swarm optimization algorithms; pso algorithm,particle swarm optimization algorithms,pso algorithm,2
sliding mode control; sliding-mode control,sliding mode control,sliding-mode control,2
back-propagation neural network; auto encoders,back-propagation neural network,auto encoders,0
p2p applications; peer to peer (p2p) network,p2p applications,peer to peer (p2p) network,2
wide-band; antenna,wide-band,antenna,1
design intent; architectural knowledge,design intent,architectural knowledge,1
multicast routing protocols; multicast protocol,multicast routing protocols,multicast protocol,1
reversible logic; software engineering education,reversible logic,software engineering education,3
virtual machine monitors; operating system,virtual machine monitors,operating system,1
mutation operators; pso,mutation operators,pso,1
fair exchange; energy policy,fair exchange,energy policy,3
flexible manipulators; privacy issue,flexible manipulators,privacy issue,3
cellular radio systems; forecasting models,cellular radio systems,forecasting models,3
decision systems; decision support system,decision systems,decision support system,1
space time block code; alamouti,space time block code,alamouti,0
quantum gates; transceiver,quantum gates,transceiver,3
architecture viewpoints; architecture viewpoint,architecture viewpoints,architecture viewpoint,2
dijkstra algorithm; dijkstra algorithms,dijkstra algorithm,dijkstra algorithms,2
broker; architectural style,broker,architectural style,1
customer behavior; trellis coded modulation,customer behavior,trellis coded modulation,3
interdomain routing; inertial sensors,interdomain routing,inertial sensors,3
pso algorithms; premature convergence,pso algorithms,premature convergence,0
visual stimulus; brain-computer interfaces (bci),visual stimulus,brain-computer interfaces (bci),1
de-nosing; noise signals,de-nosing,noise signals,0
multiple-input-multiple-output systems; communication channels,multiple-input-multiple-output systems,communication channels,1
robot manipulator; model transformation,robot manipulator,model transformation,3
broadcasting; communication channels,broadcasting,communication channels,1
bayesian method; bayesian classifiers,bayesian method,bayesian classifiers,0
content-based image retrieval (cbir); content-based image retrievals,content-based image retrieval (cbir),content-based image retrievals,2
bibliographic data; digital library,bibliographic data,digital library,1
haptic feedback; haptic feedbacks,haptic feedback,haptic feedbacks,2
architecture design decisions; frequent item sets,architecture design decisions,frequent item sets,3
computer science; computer security,computer science,computer security,0
radon transform; soc,radon transform,soc,3
common sense knowledge; commonsense reasoning,common sense knowledge,commonsense reasoning,1
internet of things; iot,internet of things,iot,2
pcnn; e-learning environment,pcnn,e-learning environment,3
rbfnn; back-propagation neural network,rbfnn,back-propagation neural network,1
redundant manipulators; computer aided design (cad),redundant manipulators,computer aided design (cad),3
autosar; architecture notation,autosar,architecture notation,1
maximum entropy models; polarographic analysis,maximum entropy models,polarographic analysis,3
mobile ad-hoc networks; multicast routing protocols,mobile ad-hoc networks,multicast routing protocols,0
wireless mesh network (wmn); mesh networking,wireless mesh network (wmn),mesh networking,0
geographic information system; spatial data,geographic information system,spatial data,0
e-learning; e-learning environment,e-learning,e-learning environment,0
human machine interface; software product line,human machine interface,software product line,3
grid computing; b2b,grid computing,b2b,3
flexible manipulators; relay channels,flexible manipulators,relay channels,3
computer hardware; field-programmable gate arrays,computer hardware,field-programmable gate arrays,0
owl; semantic technologies,owl,semantic technologies,1
markov chain monte carlo method; surveillance video,markov chain monte carlo method,surveillance video,3
multiobjective optimisation; multiobjective combinatorial optimization,multiobjective optimisation,multiobjective combinatorial optimization,0
spoken dialogue systems; spoken dialogue system,spoken dialogue systems,spoken dialogue system,2
service-oriented architecture; architectural styles,service-oriented architecture,architectural styles,1
model view controller pattern; on-line social networks,model view controller pattern,on-line social networks,3
koala; architecture notation,koala,architecture notation,1
multiprocessor; bp neural network model,multiprocessor,bp neural network model,3
haptic device; frequent itemset mining,haptic device,frequent itemset mining,3
bayesian models; bayesian estimations,bayesian models,bayesian estimations,0
equivalence classes; co-channel interference,equivalence classes,co-channel interference,3
video games; human-computer interaction,video games,human-computer interaction,1
architecture description language; analytic network process,architecture description language,analytic network process,3
field programmable gate array; c-means,field programmable gate array,c-means,3
architectural styles; microservice-based architecture,architectural styles,microservice-based architecture,0
genetic conservation; markov jump system,genetic conservation,markov jump system,3
noc architectures; network-on-chips,noc architectures,network-on-chips,1
machine learnings; forecasting models,machine learnings,forecasting models,0
requirement engineering; software requirements,requirement engineering,software requirements,0
fibre technology; computer network,fibre technology,computer network,1
